,station_id,variable,file_name
144,12298001,RR,SH_MRR112298001.csv
145,12300004,RR,SH_MRR012300004.csv
146,13001009,RR,SH_MRR113001009.csv
147,13005003,RR,SH_MRR313005003.csv
148,13030001,RR,SH_MRR313030001.csv
149,13036003,RR,SH_MRR113036003.csv
150,13047001,RR,SH_MRR213047001.csv
151,13054001,RR,SH_MRR313054001.csv
152,13055001,RR,SH_MRR313055001.csv
153,13092001,RR,SH_MRR213092001.csv
154,13103001,RR,SH_MRR313103001.csv
155,13108004,RR,SH_MRR113108004.csv
156,13110003,RR,SH_MRR213110003.csv
157,14047002,RR,SH_MRR014047002.csv
158,14066001,RR,SH_MRR114066001.csv
159,14096001,RR,SH_MRR214096001.csv
160,14137001,RR,SH_MRR114137001.csv
161,14239001,RR,SH_MRR114239001.csv
162,14578001,RR,SH_MRR214578001.csv
163,14634001,RR,SH_MRR014634001.csv
164,15014004,RR,SH_MRR015014004.csv
165,15050001,RR,SH_MRR015050001.csv
166,15085001,RR,SH_MRR115085001.csv
167,15118002,RR,SH_MRR015118002.csv
168,15119001,RR,SH_MRR115119001.csv
169,15162003,RR,SH_MRR015162003.csv
170,15187006,RR,SH_MRR115187006.csv
171,15191001,RR,SH_MRR115191001.csv
172,16028001,RR,SH_MRR116028001.csv
173,16089001,RR,SH_MRR116089001.csv
174,16113001,RR,SH_MRR116113001.csv
175,16193001,RR,SH_MRR116193001.csv
176,16256001,RR,SH_MRR116256001.csv
177,16390001,RR,SH_MRR116390001.csv
178,17093002,RR,SH_MRR017093002.csv
179,17111001,RR,SH_MRR017111001.csv
180,17218001,RR,SH_MRR117218001.csv
181,17224001,RR,SH_MRR117224001.csv
182,17243002,RR,SH_MRR017243002.csv
183,17268002,RR,SH_MRR117268002.csv
184,17300009,RR,SH_MRR017300009.csv
185,17306004,RR,SH_MRR017306004.csv
186,17318001,RR,SH_MRR117318001.csv
187,17323001,RR,SH_MRR117323001.csv
188,17353001,RR,SH_MRR117353001.csv
189,17415003,RR,SH_MRR117415003.csv
190,18003003,RR,SH_MRR118003003.csv
191,18015003,RR,SH_MRR118015003.csv
192,18033001,RR,SH_MRR118033001.csv
193,18036001,RR,SH_MRR118036001.csv
194,18037001,RR,SH_MRR118037001.csv
195,18047001,RR,SH_MRR118047001.csv
196,18057003,RR,SH_MRR118057003.csv
197,18087001,RR,SH_MRR118087001.csv
198,18089001,RR,SH_MRR118089001.csv
199,18092001,RR,SH_MRR118092001.csv
200,18109002,RR,SH_MRR018109002.csv
201,18125004,RR,SH_MRR118125004.csv
202,18172003,RR,SH_MRR018172003.csv
203,18175003,RR,SH_MRR018175003.csv
204,18187004,RR,SH_MRR018187004.csv
205,18207003,RR,SH_MRR118207003.csv
206,18223003,RR,SH_MRR018223003.csv
207,18231001,RR,SH_MRR118231001.csv
208,18242001,RR,SH_MRR118242001.csv
209,18279001,RR,SH_MRR118279001.csv
210,19010001,RR,SH_MRR119010001.csv
211,19016001,RR,SH_MRR119016001.csv
212,19033001,RR,SH_MRR119033001.csv
213,19034001,RR,SH_MRR119034001.csv
214,19073006,RR,SH_MRR119073006.csv
215,19125001,RR,SH_MRR119125001.csv
216,19136002,RR,SH_MRR119136002.csv
217,19139001,RR,SH_MRR119139001.csv
218,19157001,RR,SH_MRR119157001.csv
219,19237001,RR,SH_MRR119237001.csv
220,19272001,RR,SH_MRR119272001.csv
221,19275001,RR,SH_MRR119275001.csv
222,19288004,RR,SH_MRR119288004.csv
223,20004002,RR,SH_MRR120004002.csv
224,20004003,RR,SH_MRR120004003.csv
225,20040001,RR,SH_MRR020040001.csv
226,20108002,RR,SH_MRR020108002.csv
227,20211001,RR,SH_MRR120211001.csv
228,20272001,RR,SH_MRR120272001.csv
229,20312001,RR,SH_MRR020312001.csv
230,21154001,RR,SH_MRR221154001.csv
231,21231001,RR,SH_MRR121231001.csv
232,21310001,RR,SH_MRR221310001.csv
233,21386001,RR,SH_MRR221386001.csv
234,21454001,RR,SH_MRR221454001.csv
235,21473001,RR,SH_MRR221473001.csv
236,21501003,RR,SH_MRR221501003.csv
237,21503001,RR,SH_MRR221503001.csv
238,21519001,RR,SH_MRR221519001.csv
239,21527001,RR,SH_MRR021527001.csv
240,21564001,RR,SH_MRR121564001.csv
241,21567001,RR,SH_MRR221567001.csv
242,22113006,RR,SH_MRR122113006.csv
243,22147006,RR,SH_MRR122147006.csv
244,22168001,RR,SH_MRR122168001.csv
245,22243001,RR,SH_MRR022243001.csv
246,22266001,RR,SH_MRR122266001.csv
247,23008004,RR,SH_MRR123008004.csv
248,23013001,RR,SH_MRR123013001.csv
249,23021001,RR,SH_MRR123021001.csv
250,23025001,RR,SH_MRR123025001.csv
251,23030004,RR,SH_MRR123030004.csv
252,23031002,RR,SH_MRR123031002.csv
253,23046001,RR,SH_MRR123046001.csv
254,23069002,RR,SH_MRR123069002.csv
255,23075001,RR,SH_MRR123075001.csv
256,23090003,RR,SH_MRR123090003.csv
257,23155001,RR,SH_MRR123155001.csv
258,23176001,RR,SH_MRR223176001.csv
259,24037005,RR,SH_MRR024037005.csv
260,24172001,RR,SH_MRR124172001.csv
261,24291001,RR,SH_MRR124291001.csv
262,24452001,RR,SH_MRR124452001.csv
263,25021001,RR,SH_MRR125021001.csv
264,25047001,RR,SH_MRR125047001.csv
265,25056001,RR,SH_MRR125056001.csv
266,25127001,RR,SH_MRR125127001.csv
267,25254001,RR,SH_MRR025254001.csv
268,25285001,RR,SH_MRR025285001.csv
269,25320001,RR,SH_MRR125320001.csv
270,25372001,RR,SH_MRR125372001.csv
271,25413001,RR,SH_MRR125413001.csv
272,25453001,RR,SH_MRR125453001.csv
