station_id,station_name,department_id,altitude,latitude,longitude,city
4230001,VALENSOLE,4,600,43.8395,6.000833,VALENSOLE
5007001,ARVIEUX LA CHALP,5,1690,44.781167,6.736667,ARVIEUX
5007003,ARVIEUX,5,1825,44.796,6.728,ARVIEUX
5026001,CEILLAC,5,1665,44.671167,6.776167,CEILLAC
5038001,CHATEAU-VILLE-VIEILLE,5,1355,44.759333,6.809,CHATEAU-VILLE-VIEILLE
5044400,PARPAILLON-NIVOSE,5,2545,44.495333,6.636333,CREVOUX
5046001,EMBRUN,5,873,44.571167,6.508667,EMBRUN
5055001,LA FAURIE,5,825,44.566667,5.750167,LA FAURIE
5061009,GAP,5,885,44.577667,6.079833,GAP
5063402,LA MEIJE-NIVOSE,5,3093,45.012333,6.265167,LA GRAVE
5064001,CHAPELLE-EN-VALGAUDEMAR,5,1270,44.81,6.195333,LA CHAPELLE-EN-VALGAUDEMAR
5070001,LARAGNE-MONTEGLIN,5,575,44.316667,5.827,LARAGNE-MONTEGLIN
5070003,LARAGNE MONTEGLIN,5,565,44.319167,5.7945,LARAGNE-MONTEGLIN
5077402,COL AGNEL-NIVOSE,5,2630,44.686,6.972167,MOLINES-EN-QUEYRAS
5079001,LE MONETIER LES BAINS,5,1459,44.9715,6.514167,LE MONETIER-LES-BAINS
5079402,GALIBIER-NIVOSE,5,2559,45.056833,6.377167,LE MONETIER-LES-BAINS
5090002,MOTTE-MOLINES,5,1250,44.748167,6.122833,LA MOTTE-EN-CHAMPSAUR
5093001,NEVACHE-EDF-03,5,1603,45.0185,6.622333,NEVACHE
5096404,ORCIERES-NIVOSE,5,2280,44.719,6.333667,ORCIERES
5098001,LES ORRES,5,1446,44.501167,6.552333,LES ORRES
5101001,PELVOUX,5,1270,44.870833,6.487167,VALLOUISE-PELVOUX
5120002,RISTOLAS,5,1670,44.765667,6.9845,ABRIES-RISTOLAS
5126001,ROSANS,5,625,44.3875,5.462167,ROSANS
5132001,ST-BONNET CHAMPSAUR,5,1005,44.684167,6.072833,SAINT-BONNET-EN-CHAMPSAUR
5136002,ST CREPIN,5,906,44.7045,6.6,SAINT-CREPIN
5139002,ST ETIENNE-EN-DEVOLUY,5,1300,44.6945,5.9405,DEVOLUY
5139006,AGNIERES-EN-DEVOLUY,5,1244,44.696167,5.880833,DEVOLUY
5142001,ST FIRMIN,5,935,44.7825,6.035,SAINT-FIRMIN
5145002,ST JEAN-ST-NICOLAS,5,1210,44.670833,6.209833,SAINT-JEAN-SAINT-NICOLAS
5157001,ST VERAN,5,2000,44.6925,6.868667,SAINT-VERAN
5158001,LE SAIX,5,801,44.475833,5.8155,LE SAIX
5170001,TALLARD,5,593,44.452167,6.033333,TALLARD
